category,region,sales,quantity,rating,profit,customer_age
家居,华北,2638,18,3.3,3934.08,63
电子产品,西南,4647,30,3.3,4140.56,69
图书,华南,5719,18,2.6,896.86,41
电子产品,西南,8456,46,3.0,-328.86,32
服装,西南,6712,47,2.6,3566.12,39
家居,华中,5105,31,3.2,84.89,47
家居,华南,922,38,3.5,1232.06,21
图书,西南,1043,32,3.7,-479.01,30
服装,西南,6250,11,3.1,3249.18,40
食品,华南,4525,45,3.9,419.23,25
电子产品,华南,9066,25,1.6,3104.05,35
运动户外,西南,2298,33,1.8,4954.58,29
电子产品,华南,4342,38,4.3,-100.31,48
电子产品,西南,3795,41,2.3,-76.07,31
食品,西南,3552,8,1.1,1372.09,51
电子产品,华中,9206,11,1.6,4265.13,35
服装,华东,1408,22,1.9,685.41,51
服装,西南,4277,24,4.8,1482.08,28
家居,华北,8805,41,3.3,-123.22,58
图书,华东,6952,17,4.7,3697.35,29
运动户外,华东,6135,12,3.3,1745.68,66
电子产品,华东,3694,46,2.9,3675.87,32
电子产品,华中,4941,32,2.3,4469.84,48
食品,西南,1509,15,3.4,780.2,66
图书,华中,4666,16,1.6,3940.68,46
服装,西南,4591,22,4.6,-174.98,43
运动户外,华中,1655,28,4.3,4443.66,35
家居,华中,904,20,2.3,3079.23,49
服装,华北,1379,33,4.8,4308.25,39
图书,华中,7183,10,4.3,-498.96,55
家居,华南,6086,40,3.7,429.95,34
食品,华北,5719,32,1.5,1643.68,40
食品,华中,1487,33,2.9,1587.27,41
电子产品,华东,2779,2,3.0,747.02,67
图书,华南,2206,33,1.9,1598.87,25
运动户外,华南,8273,33,1.3,208.67,58
家居,华南,4323,41,4.1,1770.19,23
服装,华北,4931,13,1.5,3912.95,22
图书,华中,2868,30,3.4,2134.89,61
图书,华中,3286,33,4.7,-401.0,46
食品,华东,2673,13,4.5,1817.94,45
电子产品,华东,2699,26,2.1,-350.54,28
电子产品,华南,4133,22,4.4,4814.34,18
家居,华东,8528,39,1.0,201.0,60
食品,华北,1404,2,1.1,3392.29,36
图书,华中,7468,38,3.4,4850.27,26
运动户外,华南,5977,39,2.5,4043.21,44
食品,华东,1401,26,2.5,3346.23,51
家居,华北,2641,46,3.3,4117.04,61
家居,华北,2151,15,1.8,4899.89,21
食品,华东,6909,34,1.8,2917.39,53
家居,华中,8733,42,2.9,2575.52,35
食品,华东,9096,44,4.0,2955.31,32
服装,华南,174,49,3.5,2429.72,68
食品,华东,7081,40,2.2,2992.99,30
食品,华北,5575,11,2.7,1974.13,36
家居,华东,8332,3,1.7,701.44,66
家居,华中,7284,6,1.3,161.36,23
电子产品,西南,5896,9,4.1,-124.12,65
电子产品,华东,7241,6,2.1,948.24,29
服装,华中,1722,9,1.7,-246.32,68
电子产品,华中,8141,39,3.8,2619.44,54
食品,华北,441,31,3.5,1061.06,34
家居,华中,2174,32,3.5,4034.94,40
电子产品,华中,8092,41,1.9,-91.68,43
电子产品,华中,745,12,1.9,744.93,46
服装,华中,4363,8,1.9,3516.35,50
图书,华南,8901,8,1.7,2793.45,44
服装,华南,6236,28,3.6,-145.3,42
食品,华北,8746,20,4.4,4324.82,27
家居,华东,3069,47,3.9,4324.94,64
服装,华中,3128,7,4.2,1317.24,40
电子产品,华东,7743,11,2.6,1372.23,38
家居,华东,2781,20,3.6,4939.66,38
家居,华北,3729,16,2.4,2943.97,60
电子产品,华中,4325,4,3.1,2422.24,30
服装,华中,3167,6,2.9,4109.84,54
电子产品,西南,6041,22,1.7,1069.1,50
图书,华东,1486,26,2.5,1860.5,41
家居,华东,2966,3,4.9,972.77,61
运动户外,华南,4888,41,2.0,3840.38,28
运动户外,西南,5590,42,1.5,2653.42,34
食品,华南,4224,14,2.7,3123.54,21
电子产品,华南,8440,11,4.2,887.69,64
电子产品,华南,3950,18,3.3,711.24,42
食品,华北,5515,12,3.7,2186.06,47
食品,华北,7779,23,1.8,3556.61,26
食品,华南,6919,12,3.5,2388.82,38
家居,西南,9428,13,2.3,-320.45,37
图书,华东,8478,25,4.3,4277.03,36
电子产品,西南,9542,45,3.5,-144.22,36
家居,华中,1433,19,1.8,4757.03,29
食品,华北,4250,46,1.3,-361.72,54
电子产品,华东,6866,36,1.2,3319.48,59
家居,华东,2811,45,2.5,-47.86,34
图书,华中,4953,8,2.1,4508.72,54
家居,华中,6312,29,3.6,2054.38,65
图书,华南,7579,32,3.0,256.38,56
食品,华北,5508,44,2.1,1374.49,45
图书,华北,7815,18,1.6,406.54,58
电子产品,西南,9042,6,1.5,438.2,52
食品,华南,1862,18,4.5,4714.6,64
电子产品,华南,7201,19,2.0,1948.85,65
运动户外,华南,7774,22,3.6,3838.41,35
服装,华南,6222,37,4.2,3017.83,31
图书,华北,581,32,3.5,3220.34,52
服装,华北,253,41,4.4,224.31,61
服装,华南,7717,3,2.6,788.01,58
图书,西南,1624,28,4.8,3827.13,24
食品,华东,2220,10,1.5,4839.21,58
运动户外,华东,2443,35,1.4,944.72,30
电子产品,西南,5236,29,3.6,993.63,35
家居,华南,5860,15,4.8,2100.93,54
电子产品,华北,1340,33,4.2,4911.12,30
家居,华东,160,7,1.3,979.27,53
电子产品,华中,9230,12,2.1,1738.35,48
图书,华中,1739,49,4.7,4403.14,19
运动户外,西南,6285,30,2.0,-483.93,33
家居,华南,8070,21,4.1,-281.29,26
食品,华东,1352,31,4.3,2822.39,26
电子产品,华南,4303,24,3.0,4490.59,55
电子产品,华东,8463,20,2.5,813.71,28
家居,西南,9750,37,2.8,2083.03,39
食品,西南,3649,4,1.9,1977.56,50
食品,华中,4297,28,4.6,2101.34,53
图书,华南,7109,44,2.8,2923.86,62
图书,华中,6767,20,4.5,2083.59,40
图书,华南,2422,24,1.4,1961.07,62
图书,华中,9928,49,5.0,2108.59,62
图书,华北,4190,32,2.8,2749.77,51
图书,华北,7060,41,1.2,2453.54,26
运动户外,华北,3104,36,1.2,4197.75,41
食品,华北,5236,34,4.0,-227.77,25
图书,华东,429,36,3.6,4083.24,24
食品,华北,3740,2,4.2,4141.59,53
食品,西南,8082,15,1.4,1066.99,35
服装,西南,4207,34,1.1,2045.69,20
运动户外,华东,1441,36,3.0,1911.96,45
图书,华北,8507,6,2.6,701.8,23
电子产品,华北,438,39,2.8,1682.38,61
家居,华北,5995,42,5.0,-255.87,61
电子产品,华中,2808,12,4.9,1028.02,38
运动户外,华南,1850,3,4.8,3991.75,45
家居,华中,5704,45,4.1,1065.09,57
运动户外,华南,2521,18,2.4,4000.14,18
食品,华北,7219,40,2.6,2423.8,53
家居,华北,9001,21,3.2,4339.24,38
食品,华中,5419,15,4.3,2661.29,60
电子产品,华中,6709,33,1.3,-336.82,52
电子产品,华南,5487,35,2.7,3214.81,30
家居,西南,4093,26,1.3,-253.31,66
家居,华南,8780,8,3.1,1978.28,27
图书,华中,8144,36,4.6,4611.85,61
运动户外,华中,8338,48,4.1,408.62,64
图书,华东,4973,30,1.9,1644.3,27
运动户外,华中,4906,23,4.9,3514.23,63
图书,华东,8692,42,3.7,4352.42,30
食品,西南,6013,44,1.0,3190.19,54
家居,华南,7224,14,2.0,919.95,55
电子产品,华南,3257,14,2.0,3210.34,41
运动户外,华东,490,2,1.3,1132.0,19
运动户外,华南,4530,37,4.8,3451.36,39
电子产品,华中,8920,5,2.9,4747.18,34
图书,华北,7786,38,4.6,3467.66,53
运动户外,华东,4332,45,2.3,4245.84,31
食品,华南,8107,41,1.5,-488.43,27
家居,华东,1621,47,2.9,3446.65,52
电子产品,华东,9118,14,1.5,4062.73,42
家居,华北,1600,39,2.9,-276.93,20
运动户外,华中,6837,25,4.7,4293.79,64
运动户外,华东,3394,20,3.1,911.82,55
电子产品,华南,5185,2,3.5,3159.11,34
食品,西南,2519,39,1.6,3901.95,29
服装,华东,9226,6,1.2,3144.65,69
电子产品,华东,3142,17,1.4,7.57,41
服装,华北,4597,25,3.4,2779.77,46
图书,华中,1566,28,1.4,2522.71,60
服装,西南,3661,2,2.5,4451.77,42
食品,华南,714,35,3.2,1723.32,53
图书,西南,5492,37,2.6,1265.95,43
服装,华南,7793,5,1.7,3624.18,55
图书,华中,9474,1,2.1,1769.71,18
服装,华南,3323,40,4.7,3053.53,37
食品,华北,7238,12,3.7,3055.48,45
服装,华北,2767,36,3.0,4384.21,33
服装,华北,8080,45,1.1,2792.81,64
服装,华北,230,23,5.0,2261.84,34
电子产品,西南,3083,47,3.7,263.79,57
电子产品,华中,4378,31,2.3,136.56,45
电子产品,华南,7226,11,4.5,348.77,29
食品,华南,8330,10,2.0,445.17,44
图书,华北,7794,3,3.2,3008.32,59
运动户外,华北,6740,14,3.5,3575.4,64
服装,华东,5568,16,1.9,2414.95,47
服装,华中,1020,10,4.9,4059.6,58
食品,西南,7664,29,4.0,4951.95,51
服装,华南,8784,10,3.2,4010.07,54
电子产品,华东,9423,12,1.7,3321.85,23
运动户外,华东,8602,30,1.2,2428.71,24
家居,华南,9030,41,2.3,1968.69,49
服装,西南,3341,1,4.0,-35.84,49
电子产品,华东,645,5,2.1,1696.53,42
家居,华东,4446,20,3.2,4505.74,50
运动户外,华中,3910,8,3.9,3944.12,24
家居,西南,7306,43,1.4,688.28,69
电子产品,华东,9105,12,3.7,2066.34,29
图书,西南,2132,1,1.4,3991.98,33
图书,华南,8536,20,4.9,-129.38,33
家居,华北,371,28,3.0,1630.66,60
食品,华东,3611,43,1.6,4185.13,53
家居,华中,1871,37,2.4,1721.44,30
服装,华南,9554,47,2.7,-73.12,24
服装,西南,4461,37,4.0,2483.94,53
图书,华南,7169,12,4.0,4239.58,64
食品,华东,1020,37,3.4,2746.57,68
电子产品,西南,8290,49,1.4,744.54,26
服装,华北,3530,49,1.6,1613.32,49
图书,华南,4535,44,1.4,1975.68,28
运动户外,华东,3860,28,3.3,2685.96,25
图书,华中,2150,47,4.5,3676.43,50
服装,西南,1265,15,2.7,43.8,40
服装,华南,8667,6,1.6,4393.09,42
图书,华南,2133,44,3.2,-432.3,25
电子产品,华北,6567,20,4.2,1535.29,62
家居,华北,245,14,4.0,-349.19,39
服装,华中,4488,2,4.5,1661.36,21
图书,华中,7932,9,2.1,2391.97,57
图书,华东,8723,37,1.8,2314.25,20
食品,华东,8996,20,4.5,410.96,46
家居,华中,8273,26,3.6,3051.57,58
运动户外,华中,2732,29,2.2,-253.72,46
电子产品,西南,4594,1,4.0,3690.49,51
运动户外,华北,8156,35,4.3,4706.54,51
家居,华东,7611,6,3.5,1368.73,45
家居,华北,9255,37,3.8,2344.82,30
家居,华北,1928,5,2.5,1584.01,32
运动户外,华中,9230,33,3.2,-463.09,40
家居,西南,4905,49,3.1,1622.31,61
图书,华南,906,14,4.4,3854.46,43
运动户外,西南,9755,12,4.4,2777.94,21
家居,西南,7586,42,4.3,56.93,43
图书,华北,8302,20,1.0,4159.27,57
食品,西南,1968,24,4.0,2420.97,26
家居,华东,7978,43,4.0,4129.48,22
运动户外,华北,5790,34,3.7,2691.22,49
服装,华东,7927,25,4.0,2578.29,37
家居,华南,5529,29,4.4,78.93,67
服装,华北,9176,39,2.9,420.48,28
图书,华南,3664,31,3.0,4846.14,32
食品,华北,1489,47,1.5,756.68,49
电子产品,华中,7374,43,2.5,4875.99,45
食品,西南,924,23,3.6,2425.52,39
家居,华中,2365,44,4.1,246.84,58
服装,华南,1036,38,1.9,46.16,34
服装,西南,6502,20,1.6,648.75,43
运动户外,华北,3945,23,3.7,4591.01,61
服装,西南,1896,45,1.0,1777.83,24
运动户外,华东,8345,16,1.7,1674.89,59
图书,西南,7314,42,1.1,1222.63,43
电子产品,华东,826,8,1.7,308.84,42
家居,西南,2836,21,1.7,2183.18,27
运动户外,华东,2013,1,2.6,215.26,62
电子产品,华南,9888,8,2.6,4095.14,36
服装,华中,7757,29,4.5,1537.18,28
服装,华北,2566,32,3.0,1561.42,30
电子产品,西南,9141,38,3.9,2107.04,25
服装,华中,7412,5,1.4,1942.7,57
图书,华北,8294,47,1.9,4971.72,21
图书,华北,8006,22,3.8,2499.6,64
电子产品,华东,4976,47,1.2,-14.89,48
运动户外,华南,7387,34,2.9,2837.83,45
运动户外,华南,992,1,3.4,333.71,28
电子产品,华中,4775,26,3.4,-329.84,60
运动户外,华南,2033,43,1.1,4839.08,18
运动户外,西南,1480,10,2.3,3754.46,66
图书,华南,1390,30,3.5,4890.6,64
运动户外,华中,1740,18,1.6,2128.33,69
食品,华南,7590,17,3.8,2427.42,55
家居,西南,9279,26,4.0,425.85,41
服装,华东,1318,8,4.9,857.99,64
食品,华中,5116,47,1.8,4112.02,48
运动户外,华东,6981,40,4.3,1459.02,58
图书,华东,9647,49,3.1,4047.48,63
电子产品,华东,9852,12,2.5,3399.58,67
运动户外,华北,9710,27,1.5,474.44,43
图书,华北,1054,8,3.9,2290.96,66
家居,华东,9275,25,1.9,3225.63,67
运动户外,华中,7391,46,2.5,792.7,22
电子产品,西南,1074,4,1.3,4068.79,37
图书,西南,4233,33,4.2,2496.55,69
图书,华南,5470,1,4.1,408.83,58
图书,华中,4072,19,3.9,2706.41,28
家居,华北,5395,31,2.2,4998.43,50
运动户外,华东,9205,16,1.7,327.87,67
家居,华南,8328,14,3.6,3992.16,55
服装,西南,3120,48,3.0,640.2,44
服装,华北,9087,5,1.7,3803.14,51
运动户外,华北,4136,41,3.7,3540.18,32
家居,华东,5168,26,5.0,1152.69,49
